episode,train_reward,train_score,train_energy,actor_loss,critic_loss,eval_reward,eval_score,eval_energy
1,16.0,0.777778,-2.0,0.0,0.000782,-1190.8,0.436111,1.8
20,-206.0,0.455556,11.0,-0.007093,11.705111,-822.4,0.646032,-0.2
40,-25.0,0.62963,4.0,0.005997,0.684955,-154.0,0.611111,0.2
60,-8.0,0.444444,-2.0,0.003166,0.085818,-1063.6,0.462857,7.0
80,2.0,0.555556,-4.0,0.0,0.010583,-1879.2,0.437143,5.4
100,5.0,0.666667,1.0,0.0,0.001702,-1363.2,0.522222,1.8
120,-2.0,0.555556,1.0,0.0,0.017748,-1367.2,0.455556,4.6
140,-38.0,0.777778,0.0,0.002897,0.043685,-107.6,0.565556,2.2
160,-141.0,0.833333,-3.0,-0.006691,1.175376,-16.0,0.525,1.2
180,12.0,0.888889,-4.0,0.0,0.201587,-531.4,0.524854,4.0
200,-5.0,0.444444,0.0,0.0,0.241727,-562.6,0.668889,1.0
220,-41.0,0.555556,1.0,0.016765,0.089167,-466.8,0.650794,-0.4
240,-2.0,0.423203,11.0,0.0,0.001072,-480.8,0.622222,-0.4
260,-7.0,0.555556,1.0,0.011977,0.092909,-238.6,0.604706,2.4
280,11.0,0.5,-3.0,-0.035344,1.015811,-292.8,0.591111,2.8
300,11.0,0.685185,1.0,0.0,0.029262,-262.4,0.613675,1.4
320,4.0,0.833333,-3.0,0.002334,0.071671,-452.0,0.569444,0.2
340,-172.0,0.674603,1.0,-0.008549,5.605378,0.8,0.644444,-2.0
360,-32.0,0.777778,0.0,-0.048249,0.174142,-624.4,0.635556,0.8
380,2.0,0.555556,-4.0,0.0,0.018029,5.4,0.714815,-2.6
400,-11.0,0.674603,1.0,-0.029377,0.003178,-672.2,0.566667,-0.4
